sell_type,cust_type,prod_type,time_type,model,rmse
sell_in,all,다,W,ses,5274738
sell_in,all,다,W,arima,5478837
sell_in,all,다,W,hw,7925082
sell_in,all,다,W,ar,9287486
sell_in,all,다,W,arma,10124953
sell_in,all,다,M,arima,59084461
sell_in,all,다,M,arma,67352869
sell_in,all,다,M,ar,80992954
sell_in,all,다,M,ses,85000686
sell_in,all,다,M,hw,165039044
sell_in,all,나,D,ar,1012503
sell_in,all,나,D,arima,1057518
sell_in,all,나,D,ses,1063648
sell_in,all,나,D,hw,1104808
sell_in,all,나,D,arma,1112838
sell_in,all,나,W,ar,7775223
sell_in,all,나,W,ses,8181914
sell_in,all,나,W,arima,8421468
sell_in,all,나,W,arma,8633104
sell_in,all,나,W,hw,12366264
sell_in,all,나,M,ses,13049004
sell_in,all,나,M,arima,15747674
sell_in,all,나,M,arma,16765541
sell_in,all,나,M,ar,23884902
sell_in,all,나,M,hw,26696913
sell_in,all,라,D,arima,229273
sell_in,all,라,D,arma,243378
sell_in,all,라,D,ar,247432
sell_in,all,라,D,hw,301699
sell_in,all,라,D,ses,510409
sell_in,all,라,W,ses,440916
sell_in,all,라,W,hw,544105
sell_in,all,라,W,arma,1440401
sell_in,all,라,W,ar,1498057
sell_in,all,라,W,arima,1677079
sell_in,all,라,M,arma,9372854
sell_in,all,라,M,arima,9854932
sell_in,all,라,M,ar,11689018
sell_in,all,라,M,ses,12706751
sell_in,all,라,M,hw,19818994
sell_in,all,마,D,ses,1131139
sell_in,all,마,D,arma,1551308
sell_in,all,마,D,arima,1558295
sell_in,all,마,D,ar,1982105
sell_in,all,마,D,hw,2479719
sell_in,all,마,W,ses,2635402
sell_in,all,마,W,hw,7032522
sell_in,all,마,W,ar,10180832
sell_in,all,마,W,arima,11497009
sell_in,all,마,W,arma,13823155
sell_in,all,마,M,ar,49153090
sell_in,all,마,M,ses,53514402
sell_in,all,마,M,arma,54569459
sell_in,all,마,M,arima,54814610
sell_in,all,마,M,hw,65387318
sell_in,all,all,D,hw,8559020
sell_in,all,all,D,arima,8903651
sell_in,all,all,D,arma,8946025
sell_in,all,all,D,ar,9026423
sell_in,all,all,D,ses,9633319
sell_in,all,all,W,arima,13691009
sell_in,all,all,W,ses,14692556
sell_in,all,all,W,ar,16516131
sell_in,all,all,W,arma,23658646
sell_in,all,all,W,hw,29105759
sell_in,all,all,M,ar,109496237
sell_in,all,all,M,arima,110302260
sell_in,all,all,M,arma,117442135
sell_in,all,all,M,ses,138989423
sell_in,all,all,M,hw,148282152
sell_out,A,바,D,ar,247820
sell_out,A,바,D,arima,277187
sell_out,A,바,D,arma,292061
sell_out,A,바,D,ses,343568
sell_out,A,바,D,hw,372657
sell_out,A,바,W,ar,6535045
sell_out,A,바,W,ses,7689426
sell_out,A,바,W,arima,8436319
sell_out,A,바,W,arma,8694694
sell_out,A,바,W,hw,8750290
sell_out,A,바,M,ses,15106300
sell_out,A,바,M,ar,19800225
sell_out,A,바,M,arma,20301965
sell_out,A,바,M,arima,23668748
sell_out,A,바,M,hw,26934297
sell_out,A,가,D,arima,705658
sell_out,A,가,D,arma,734390
sell_out,A,가,D,ses,800361
sell_out,A,가,D,ar,1035441
sell_out,A,가,D,hw,1042323
sell_out,A,가,W,ar,7624495
sell_out,A,가,W,arima,7907741
sell_out,A,가,W,arma,8049794
sell_out,A,가,W,ses,8167030
sell_out,A,가,W,hw,9346114
sell_out,A,가,M,arima,9929535
sell_out,A,가,M,arma,10211655
sell_out,A,가,M,ses,11660535
sell_out,A,가,M,ar,11999670
sell_out,A,가,M,hw,15606031
sell_out,A,다,D,hw,640153
sell_out,A,다,D,arma,712505
sell_out,A,다,D,ar,714356
sell_out,A,다,D,arima,735963
sell_out,A,다,D,ses,778353
sell_out,A,다,W,hw,6755945
sell_out,A,다,W,ar,11143974
sell_out,A,다,W,arima,11523279
sell_out,A,다,W,arma,13159670
sell_out,A,다,W,ses,14187387
sell_out,A,다,M,ar,78383101
sell_out,A,다,M,arima,84244011
sell_out,A,다,M,arma,94288866
sell_out,A,다,M,ses,106348616
sell_out,A,다,M,hw,126674779
sell_out,A,all,D,arima,1232280
sell_out,A,all,D,arma,1234984
sell_out,A,all,D,ar,1433937
sell_out,A,all,D,ses,1459164
sell_out,A,all,D,hw,1673679
sell_out,A,all,W,hw,20320882
sell_out,A,all,W,arima,27984613
sell_out,A,all,W,ses,28177994
