sell_type,cust_type,prod_group_type,prod_type,time_type,model,rmse,scenario,smoothing
sell_in,A,g1,가,W,arma,11455,s2,False
sell_in,A,g1,가,W,arima,11512,s2,False
sell_in,A,g1,가,W,ar,11558,s2,False
sell_in,A,g1,가,W,ses,11962,s2,False
sell_in,A,g1,가,W,hw,13149,s2,False
sell_in,A,g2,다,W,arima,15291,s2,False
sell_in,A,g2,다,W,arma,15745,s2,False
sell_in,A,g2,다,W,ar,16091,s2,False
sell_in,A,g2,다,W,ses,17648,s2,False
sell_in,A,g2,다,W,hw,19664,s2,False
sell_in,A,all,가,W,arma,11455,s2,False
sell_in,A,all,가,W,arima,11512,s2,False
sell_in,A,all,가,W,ar,11558,s2,False
sell_in,A,all,가,W,ses,11962,s2,False
sell_in,A,all,가,W,hw,13149,s2,False
sell_in,A,all,다,W,arima,15291,s2,False
sell_in,A,all,다,W,arma,15745,s2,False
sell_in,A,all,다,W,ar,16091,s2,False
sell_in,A,all,다,W,ses,17648,s2,False
sell_in,A,all,다,W,hw,19664,s2,False
sell_in,A,all,all,W,arima,20649,s2,False
sell_in,A,all,all,W,arma,20999,s2,False
sell_in,A,all,all,W,ar,21397,s2,False
sell_in,A,all,all,W,ses,21971,s2,False
sell_in,A,all,all,W,hw,25380,s2,False
sell_in,B,g1,나,W,arma,2804,s2,False
sell_in,B,g1,나,W,arima,2805,s2,False
sell_in,B,g1,나,W,ses,2852,s2,False
sell_in,B,g1,나,W,ar,2869,s2,False
sell_in,B,g1,나,W,hw,3052,s2,False
sell_in,B,g2,라,W,arma,1360,s2,False
sell_in,B,g2,라,W,arima,1386,s2,False
sell_in,B,g2,라,W,ar,1456,s2,False
sell_in,B,g2,라,W,ses,1467,s2,False
sell_in,B,g2,라,W,hw,1554,s2,False
sell_in,B,all,나,W,arma,2804,s2,False
sell_in,B,all,나,W,arima,2805,s2,False
sell_in,B,all,나,W,ses,2852,s2,False
sell_in,B,all,나,W,ar,2869,s2,False
sell_in,B,all,나,W,hw,3052,s2,False
sell_in,B,all,라,W,arma,1360,s2,False
sell_in,B,all,라,W,arima,1386,s2,False
sell_in,B,all,라,W,ar,1456,s2,False
sell_in,B,all,라,W,ses,1467,s2,False
sell_in,B,all,라,W,hw,1554,s2,False
sell_in,B,all,all,W,arima,4146,s2,False
sell_in,B,all,all,W,arma,4147,s2,False
sell_in,B,all,all,W,ses,4319,s2,False
sell_in,B,all,all,W,ar,4328,s2,False
sell_in,B,all,all,W,hw,4509,s2,False
sell_in,C,g1,나,W,ses,962,s2,False
sell_in,C,g1,나,W,hw,1094,s2,False
sell_in,C,g1,나,W,ar,1262,s2,False
sell_in,C,g1,나,W,arma,1799,s2,False
sell_in,C,g1,나,W,arima,1820,s2,False
sell_in,C,g3,마,W,ar,25480,s2,False
sell_in,C,g3,마,W,ses,26684,s2,False
sell_in,C,g3,마,W,arima,26863,s2,False
sell_in,C,g3,마,W,arma,26949,s2,False
sell_in,C,g3,마,W,hw,28871,s2,False
sell_in,C,all,나,W,ses,962,s2,False
sell_in,C,all,나,W,hw,1094,s2,False
sell_in,C,all,나,W,ar,1262,s2,False
sell_in,C,all,나,W,arma,1799,s2,False
