sell_type,cust_type,prod_type,time_type,modle,dt,prediction
sell_in,C,마,W,ar,2021-02-07,6682448.042576305
sell_in,C,마,W,ar,2021-02-14,8501563.656021783
sell_in,C,all,D,ar,2021-01-01,1769012.9535853898
sell_in,C,all,D,ar,2021-01-02,2010124.7292612612
sell_in,C,all,D,ar,2021-01-03,-1238388.7242518268
sell_in,C,all,D,ar,2021-01-04,1790119.556776602
sell_in,C,all,D,ar,2021-01-05,2317922.651422321
sell_in,C,all,D,ar,2021-01-06,1836248.734949484
sell_in,C,all,W,ar,2021-01-10,7138169.111424657
sell_in,C,all,W,ar,2021-01-17,6084713.073971921
sell_in,C,all,W,ar,2021-01-24,28817276.903995275
sell_in,C,all,W,ar,2021-01-31,21480738.014465928
sell_in,C,all,W,ar,2021-02-07,8272256.21882608
sell_in,C,all,W,ar,2021-02-14,9747639.016210267
sell_in,all,가,D,ar,2021-01-01,3953528.6538889343
sell_in,all,가,D,ar,2021-01-02,2897303.964273968
sell_in,all,가,D,ar,2021-01-03,-858626.0306829537
sell_in,all,가,D,ar,2021-01-04,634293.0326619823
sell_in,all,가,D,ar,2021-01-05,3052910.6119043175
sell_in,all,가,D,ar,2021-01-06,3645575.634188931
sell_in,all,가,W,ar,2021-01-10,1715218.7665783132
sell_in,all,가,W,ar,2021-01-17,6135253.807693053
sell_in,all,가,W,ar,2021-01-24,15454352.216389723
sell_in,all,가,W,ar,2021-01-31,34458262.58560209
sell_in,all,가,W,ar,2021-02-07,17832562.744289715
sell_in,all,가,W,ar,2021-02-14,4375438.154519213
sell_in,all,다,D,ar,2021-01-01,3031139.0617063656
sell_in,all,다,D,ar,2021-01-02,3472340.8778519225
sell_in,all,다,D,ar,2021-01-03,1908932.3795066632
sell_in,all,다,D,ar,2021-01-04,5140022.38902014
sell_in,all,다,D,ar,2021-01-05,6909725.881968543
sell_in,all,다,D,ar,2021-01-06,4004959.9974916195
sell_in,all,다,W,ar,2021-01-10,17704828.032694694
sell_in,all,다,W,ar,2021-01-17,16364244.433665052
sell_in,all,다,W,ar,2021-01-24,17746562.07153472
sell_in,all,다,W,ar,2021-01-31,20743858.006044537
sell_in,all,다,W,ar,2021-02-07,15490622.763636168
sell_in,all,다,W,ar,2021-02-14,22656777.617078986
sell_in,all,나,D,ar,2020-12-31,966752.7440202499
sell_in,all,나,D,ar,2021-01-01,960510.7428220001
sell_in,all,나,D,ar,2021-01-02,910647.7248638687
sell_in,all,나,D,ar,2021-01-03,-885654.7977811013
sell_in,all,나,D,ar,2021-01-04,1102893.055440099
sell_in,all,나,D,ar,2021-01-05,1532662.4263575126
sell_in,all,나,W,ar,2021-01-10,5736189.171389912
sell_in,all,나,W,ar,2021-01-17,7299592.604465443
sell_in,all,나,W,ar,2021-01-24,6364321.293457935
sell_in,all,나,W,ar,2021-01-31,2709117.733077257
sell_in,all,나,W,ar,2021-02-07,6771389.953795836
sell_in,all,나,W,ar,2021-02-14,5726528.06246845
sell_in,all,라,D,ar,2021-01-01,794730.4951555365
sell_in,all,라,D,ar,2021-01-02,132791.0920993658
sell_in,all,라,D,ar,2021-01-03,-97586.91202984838
sell_in,all,라,D,ar,2021-01-04,1207314.913321465
sell_in,all,라,D,ar,2021-01-05,668286.910389428
sell_in,all,라,D,ar,2021-01-06,494587.803615111
sell_in,all,라,W,ar,2021-01-10,2589683.3320950507
sell_in,all,라,W,ar,2021-01-17,3206608.192612525
sell_in,all,라,W,ar,2021-01-24,3961870.4483134598
sell_in,all,라,W,ar,2021-01-31,4259011.839171689
sell_in,all,라,W,ar,2021-02-07,5064305.055989792
sell_in,all,라,W,ar,2021-02-14,4395111.42653735
sell_in,all,마,D,ar,2021-01-01,1632339.1999549426
sell_in,all,마,D,ar,2021-01-02,1803480.1471270288
sell_in,all,마,D,ar,2021-01-03,-936172.432832283
sell_in,all,마,D,ar,2021-01-04,1358657.797883126
sell_in,all,마,D,ar,2021-01-05,2038184.7892515566
sell_in,all,마,D,ar,2021-01-06,1643935.4298225117
sell_in,all,마,W,ar,2021-01-10,5022671.793646887
sell_in,all,마,W,ar,2021-01-17,3613508.619831414
sell_in,all,마,W,ar,2021-01-24,26790702.07982801
sell_in,all,마,W,ar,2021-01-31,19666419.902516577
sell_in,all,마,W,ar,2021-02-07,6682448.042576305
sell_in,all,마,W,ar,2021-02-14,8501563.656021783
sell_in,all,all,D,ar,2021-01-01,13807141.160124354
sell_in,all,all,D,ar,2021-01-02,12616573.316209396
sell_in,all,all,D,ar,2021-01-03,2686527.358172199
sell_in,all,all,D,ar,2021-01-04,13014594.63451554
sell_in,all,all,D,ar,2021-01-05,14890518.753365243
sell_in,all,all,D,ar,2021-01-06,11538094.88813787
sell_in,all,all,W,ar,2021-01-10,39595975.55711773
sell_in,all,all,W,ar,2021-01-17,50600760.21318061
sell_in,all,all,W,ar,2021-01-24,81268683.26036389
