sell_type,cust_type,prod_group_type,prod_type,time_type,model,rmse,scenario,smoothing
sell_in,A,g1,가,W,lstm_vn,0.24643898010253906,s3,True
sell_in,A,g2,다,W,lstm_vn,0.2591593563556671,s3,True
sell_in,A,all,가,W,lstm_vn,0.24345040321350098,s3,True
sell_in,A,all,다,W,lstm_vn,0.2490098923444748,s3,True
sell_in,A,all,all,W,lstm_vn,0.264331579208374,s3,True
sell_in,B,g1,나,W,lstm_vn,0.23336872458457947,s3,True
sell_in,B,g2,라,W,lstm_vn,0.28498148918151855,s3,True
sell_in,B,all,나,W,lstm_vn,0.2343028485774994,s3,True
sell_in,B,all,라,W,lstm_vn,0.2872755825519562,s3,True
sell_in,B,all,all,W,lstm_vn,0.2867252826690674,s3,True
sell_in,C,g1,나,W,lstm_vn,0.14716503024101257,s3,True
sell_in,C,g3,마,W,lstm_vn,0.18204353749752045,s3,True
sell_in,C,all,나,W,lstm_vn,0.1519531011581421,s3,True
sell_in,C,all,마,W,lstm_vn,0.18106909096240997,s3,True
sell_in,C,all,all,W,lstm_vn,0.18850454688072205,s3,True
sell_in,all,g1,가,W,lstm_vn,0.23435240983963013,s3,True
sell_in,all,g1,나,W,lstm_vn,0.22011418640613556,s3,True
sell_in,all,g1,all,W,lstm_vn,0.25658681988716125,s3,True
sell_in,all,g2,다,W,lstm_vn,0.24962584674358368,s3,True
sell_in,all,g2,라,W,lstm_vn,0.2873021364212036,s3,True
sell_in,all,g2,all,W,lstm_vn,0.2441723495721817,s3,True
sell_in,all,g3,마,W,lstm_vn,0.1814730167388916,s3,True
sell_in,all,all,가,W,lstm_vn,0.24437697231769562,s3,True
sell_in,all,all,다,W,lstm_vn,0.26509830355644226,s3,True
sell_in,all,all,나,W,lstm_vn,0.21668942272663116,s3,True
sell_in,all,all,라,W,lstm_vn,0.28802764415740967,s3,True
sell_in,all,all,마,W,lstm_vn,0.18292929232120514,s3,True
sell_in,all,all,all,W,lstm_vn,0.21320664882659912,s3,True
sell_out,A,g3,바,W,lstm_vn,0.32163429260253906,s3,True
sell_out,A,g1,가,W,lstm_vn,0.2591553330421448,s3,True
sell_out,A,g2,다,W,lstm_vn,0.17946262657642365,s3,True
sell_out,A,all,바,W,lstm_vn,0.3248089849948883,s3,True
sell_out,A,all,가,W,lstm_vn,0.25221049785614014,s3,True
sell_out,A,all,다,W,lstm_vn,0.18142931163311005,s3,True
sell_out,A,all,all,W,lstm_vn,0.23684915900230408,s3,True
sell_out,B,g3,바,W,lstm_vn,0.20966513454914093,s3,True
sell_out,B,g1,나,W,lstm_vn,0.19493664801120758,s3,True
sell_out,B,g2,라,W,lstm_vn,0.27196818590164185,s3,True
sell_out,B,all,바,W,lstm_vn,0.21516840159893036,s3,True
sell_out,B,all,나,W,lstm_vn,0.20198585093021393,s3,True
sell_out,B,all,라,W,lstm_vn,0.28313562273979187,s3,True
sell_out,B,all,all,W,lstm_vn,0.20240673422813416,s3,True
sell_out,C,g3,바,W,lstm_vn,0.13110654056072235,s3,True
sell_out,C,g3,마,W,lstm_vn,0.20710201561450958,s3,True
sell_out,C,g3,all,W,lstm_vn,0.18866847455501556,s3,True
sell_out,C,g1,나,W,lstm_vn,0.1690167337656021,s3,True
sell_out,C,all,바,W,lstm_vn,0.1303863823413849,s3,True
sell_out,C,all,나,W,lstm_vn,0.16444197297096252,s3,True
sell_out,C,all,마,W,lstm_vn,0.2053997665643692,s3,True
sell_out,C,all,all,W,lstm_vn,0.17850323021411896,s3,True
sell_out,all,g3,바,W,lstm_vn,0.25649821758270264,s3,True
sell_out,all,g3,마,W,lstm_vn,0.21136082708835602,s3,True
sell_out,all,g3,all,W,lstm_vn,0.21587733924388885,s3,True
sell_out,all,g1,가,W,lstm_vn,0.25436556339263916,s3,True
sell_out,all,g1,나,W,lstm_vn,0.20206625759601593,s3,True
sell_out,all,g1,all,W,lstm_vn,0.20388813316822052,s3,True
sell_out,all,g2,다,W,lstm_vn,0.1899769902229309,s3,True
sell_out,all,g2,라,W,lstm_vn,0.28456491231918335,s3,True
sell_out,all,g2,all,W,lstm_vn,0.22237761318683624,s3,True
sell_out,all,all,바,W,lstm_vn,0.24979974329471588,s3,True
sell_out,all,all,가,W,lstm_vn,0.25155287981033325,s3,True
sell_out,all,all,다,W,lstm_vn,0.18712826073169708,s3,True
sell_out,all,all,나,W,lstm_vn,0.20838487148284912,s3,True
sell_out,all,all,라,W,lstm_vn,0.28494590520858765,s3,True
sell_out,all,all,마,W,lstm_vn,0.21343077719211578,s3,True
sell_out,all,all,all,W,lstm_vn,0.19443033635616302,s3,True
