sell_type,cust_type,prod_group_type,prod_type,time_type,model,rmse,scenario,smoothing
sell_in,all,all,가,W,ar,9621,s2,True
sell_in,all,all,가,W,ses,9949,s2,True
sell_in,all,all,가,W,hw,11288,s2,True
sell_in,all,all,다,W,arima,13428,s2,True
sell_in,all,all,다,W,arma,13900,s2,True
sell_in,all,all,다,W,ar,14112,s2,True
sell_in,all,all,다,W,ses,15681,s2,True
sell_in,all,all,다,W,hw,17957,s2,True
sell_in,all,all,나,W,ses,3201,s2,True
sell_in,all,all,나,W,hw,3299,s2,True
sell_in,all,all,나,W,ar,3511,s2,True
sell_in,all,all,나,W,arma,3648,s2,True
sell_in,all,all,나,W,arima,3672,s2,True
sell_in,all,all,라,W,arma,1244,s2,True
sell_in,all,all,라,W,arima,1267,s2,True
sell_in,all,all,라,W,ar,1311,s2,True
sell_in,all,all,라,W,ses,1344,s2,True
sell_in,all,all,라,W,hw,1437,s2,True
sell_in,all,all,마,W,ar,18336,s2,True
sell_in,all,all,마,W,ses,18903,s2,True
sell_in,all,all,마,W,arima,19059,s2,True
sell_in,all,all,마,W,arma,19352,s2,True
sell_in,all,all,마,W,hw,20176,s2,True
sell_in,all,all,all,W,ar,31589,s2,True
sell_in,all,all,all,W,arima,31665,s2,True
sell_in,all,all,all,W,arma,31992,s2,True
sell_in,all,all,all,W,ses,33494,s2,True
sell_in,all,all,all,W,hw,34891,s2,True
sell_out,A,g3,바,W,arima,1864,s2,True
sell_out,A,g3,바,W,arma,1907,s2,True
sell_out,A,g3,바,W,ar,1919,s2,True
sell_out,A,g3,바,W,ses,2083,s2,True
sell_out,A,g3,바,W,hw,2310,s2,True
sell_out,A,g1,가,W,arima,1282,s2,True
sell_out,A,g1,가,W,arma,1299,s2,True
sell_out,A,g1,가,W,ar,1335,s2,True
sell_out,A,g1,가,W,ses,1452,s2,True
sell_out,A,g1,가,W,hw,1532,s2,True
sell_out,A,g2,다,W,arma,13540,s2,True
sell_out,A,g2,다,W,arima,13617,s2,True
sell_out,A,g2,다,W,ar,13724,s2,True
sell_out,A,g2,다,W,ses,16692,s2,True
sell_out,A,g2,다,W,hw,17580,s2,True
sell_out,A,all,바,W,arima,1864,s2,True
sell_out,A,all,바,W,arma,1907,s2,True
sell_out,A,all,바,W,ar,1919,s2,True
sell_out,A,all,바,W,ses,2083,s2,True
sell_out,A,all,바,W,hw,2310,s2,True
sell_out,A,all,가,W,arima,1282,s2,True
sell_out,A,all,가,W,arma,1299,s2,True
sell_out,A,all,가,W,ar,1335,s2,True
sell_out,A,all,가,W,ses,1452,s2,True
sell_out,A,all,가,W,hw,1532,s2,True
sell_out,A,all,다,W,arma,13540,s2,True
sell_out,A,all,다,W,arima,13617,s2,True
sell_out,A,all,다,W,ar,13724,s2,True
sell_out,A,all,다,W,ses,16692,s2,True
sell_out,A,all,다,W,hw,17580,s2,True
sell_out,A,all,all,W,ar,13191,s2,True
sell_out,A,all,all,W,arima,13504,s2,True
sell_out,A,all,all,W,arma,13795,s2,True
sell_out,A,all,all,W,ses,15478,s2,True
sell_out,A,all,all,W,hw,18177,s2,True
sell_out,B,g3,바,W,ar,679,s2,True
sell_out,B,g3,바,W,ses,712,s2,True
sell_out,B,g3,바,W,hw,839,s2,True
sell_out,B,g3,바,W,arima,983,s2,True
sell_out,B,g3,바,W,arma,1065,s2,True
sell_out,B,g1,나,W,arma,2675,s2,True
sell_out,B,g1,나,W,arima,2678,s2,True
sell_out,B,g1,나,W,ses,2853,s2,True
sell_out,B,g1,나,W,ar,2998,s2,True
sell_out,B,g1,나,W,hw,3297,s2,True
sell_out,B,g2,라,W,arma,886,s2,True
sell_out,B,g2,라,W,arima,896,s2,True
sell_out,B,g2,라,W,ar,942,s2,True
sell_out,B,g2,라,W,ses,1014,s2,True
sell_out,B,g2,라,W,hw,1214,s2,True
sell_out,B,all,바,W,ar,679,s2,True
sell_out,B,all,바,W,ses,712,s2,True
sell_out,B,all,바,W,hw,839,s2,True
sell_out,B,all,바,W,arima,983,s2,True
sell_out,B,all,바,W,arma,1065,s2,True
sell_out,B,all,나,W,arma,2675,s2,True
sell_out,B,all,나,W,arima,2678,s2,True
sell_out,B,all,나,W,ses,2853,s2,True
sell_out,B,all,나,W,ar,2998,s2,True
sell_out,B,all,나,W,hw,3297,s2,True
sell_out,B,all,라,W,arma,886,s2,True
sell_out,B,all,라,W,arima,896,s2,True
sell_out,B,all,라,W,ar,942,s2,True
sell_out,B,all,라,W,ses,1014,s2,True
sell_out,B,all,라,W,hw,1214,s2,True
sell_out,B,all,all,W,ar,2895,s2,True
sell_out,B,all,all,W,ses,3162,s2,True
sell_out,B,all,all,W,arma,3310,s2,True
sell_out,B,all,all,W,hw,3345,s2,True
sell_out,B,all,all,W,arima,3359,s2,True
sell_out,C,g3,바,W,ses,665,s2,True
sell_out,C,g3,바,W,ar,699,s2,True
sell_out,C,g3,바,W,arima,783,s2,True
sell_out,C,g3,바,W,hw,847,s2,True
sell_out,C,g3,바,W,arma,1071,s2,True
sell_out,C,g3,마,W,ses,30112,s2,True
sell_out,C,g3,마,W,ar,30703,s2,True
sell_out,C,g3,마,W,arima,30999,s2,True
sell_out,C,g3,마,W,hw,33402,s2,True
sell_out,C,g3,마,W,arma,33706,s2,True
sell_out,C,g3,all,W,ses,30045,s2,True
sell_out,C,g3,all,W,ar,30790,s2,True
sell_out,C,g3,all,W,arima,31075,s2,True
sell_out,C,g3,all,W,arma,34115,s2,True
sell_out,C,g3,all,W,hw,36260,s2,True
sell_out,C,g1,나,W,ses,1075,s2,True
sell_out,C,g1,나,W,hw,1227,s2,True
sell_out,C,g1,나,W,ar,1325,s2,True
sell_out,C,g1,나,W,arma,2031,s2,True
sell_out,C,g1,나,W,arima,2057,s2,True
sell_out,C,all,바,W,ses,665,s2,True
sell_out,C,all,바,W,ar,699,s2,True
sell_out,C,all,바,W,arima,783,s2,True
sell_out,C,all,바,W,hw,847,s2,True
sell_out,C,all,바,W,arma,1071,s2,True
sell_out,C,all,나,W,ses,1075,s2,True
sell_out,C,all,나,W,hw,1227,s2,True
sell_out,C,all,나,W,ar,1325,s2,True
sell_out,C,all,나,W,arma,2031,s2,True
sell_out,C,all,나,W,arima,2057,s2,True
sell_out,C,all,마,W,ses,30112,s2,True
sell_out,C,all,마,W,ar,30703,s2,True
