sell_type,cust_type,prod_group_type,prod_type,time_type,model,rmse,scenario,smoothing
sell_in,A,g1,가,W,lstm_vn,0.2341245710849762,s4,True
sell_in,A,g2,다,W,lstm_vn,0.25043633580207825,s4,True
sell_in,A,all,가,W,lstm_vn,0.24976924061775208,s4,True
sell_in,A,all,다,W,lstm_vn,0.2357187122106552,s4,True
sell_in,A,all,all,W,lstm_vn,0.272980660200119,s4,True
sell_in,B,g1,나,W,lstm_vn,0.23565880954265594,s4,True
sell_in,B,g2,라,W,lstm_vn,0.2824563682079315,s4,True
sell_in,B,all,나,W,lstm_vn,0.2353084236383438,s4,True
sell_in,B,all,라,W,lstm_vn,0.2820196747779846,s4,True
sell_in,B,all,all,W,lstm_vn,0.2819776237010956,s4,True
sell_in,C,g1,나,W,lstm_vn,0.15456505119800568,s4,True
sell_in,C,g3,마,W,lstm_vn,0.18218876421451569,s4,True
sell_in,C,all,나,W,lstm_vn,0.15552957355976105,s4,True
sell_in,C,all,마,W,lstm_vn,0.18266898393630981,s4,True
sell_in,C,all,all,W,lstm_vn,0.18581607937812805,s4,True
sell_in,all,g1,가,W,lstm_vn,0.23829242587089539,s4,True
sell_in,all,g1,나,W,lstm_vn,0.22556060552597046,s4,True
sell_in,all,g1,all,W,lstm_vn,0.25705400109291077,s4,True
sell_in,all,g2,다,W,lstm_vn,0.2577785551548004,s4,True
sell_in,all,g2,라,W,lstm_vn,0.28463518619537354,s4,True
sell_in,all,g2,all,W,lstm_vn,0.24901413917541504,s4,True
sell_in,all,g3,마,W,lstm_vn,0.18206582963466644,s4,True
sell_in,all,all,가,W,lstm_vn,0.23444296419620514,s4,True
sell_in,all,all,다,W,lstm_vn,0.25811895728111267,s4,True
sell_in,all,all,나,W,lstm_vn,0.22237490117549896,s4,True
sell_in,all,all,라,W,lstm_vn,0.2817310392856598,s4,True
sell_in,all,all,마,W,lstm_vn,0.18325936794281006,s4,True
sell_in,all,all,all,W,lstm_vn,0.20951348543167114,s4,True
sell_out,A,g3,바,W,lstm_vn,0.24549897015094757,s4,True
sell_out,A,g1,가,W,lstm_vn,0.29271936416625977,s4,True
sell_out,A,g2,다,W,lstm_vn,0.23161490261554718,s4,True
sell_out,A,all,바,W,lstm_vn,0.24234266579151154,s4,True
sell_out,A,all,가,W,lstm_vn,0.29094311594963074,s4,True
sell_out,A,all,다,W,lstm_vn,0.21021056175231934,s4,True
sell_out,A,all,all,W,lstm_vn,0.21920858323574066,s4,True
sell_out,B,g3,바,W,lstm_vn,0.15066955983638763,s4,True
sell_out,B,g1,나,W,lstm_vn,0.19701218605041504,s4,True
sell_out,B,g2,라,W,lstm_vn,0.26965704560279846,s4,True
sell_out,B,all,바,W,lstm_vn,0.1522693932056427,s4,True
sell_out,B,all,나,W,lstm_vn,0.19876481592655182,s4,True
sell_out,B,all,라,W,lstm_vn,0.26922807097435,s4,True
sell_out,B,all,all,W,lstm_vn,0.19647139310836792,s4,True
sell_out,C,g3,바,W,lstm_vn,0.1256968080997467,s4,True
sell_out,C,g3,마,W,lstm_vn,0.17718864977359772,s4,True
sell_out,C,g3,all,W,lstm_vn,0.178383007645607,s4,True
sell_out,C,g1,나,W,lstm_vn,0.13786423206329346,s4,True
sell_out,C,all,바,W,lstm_vn,0.12984339892864227,s4,True
sell_out,C,all,나,W,lstm_vn,0.13608860969543457,s4,True
sell_out,C,all,마,W,lstm_vn,0.17723341286182404,s4,True
sell_out,C,all,all,W,lstm_vn,0.18121649324893951,s4,True
sell_out,all,g3,바,W,lstm_vn,0.21780931949615479,s4,True
sell_out,all,g3,마,W,lstm_vn,0.17860813438892365,s4,True
sell_out,all,g3,all,W,lstm_vn,0.17662666738033295,s4,True
sell_out,all,g1,가,W,lstm_vn,0.2973243296146393,s4,True
sell_out,all,g1,나,W,lstm_vn,0.1948651373386383,s4,True
sell_out,all,g1,all,W,lstm_vn,0.20780599117279053,s4,True
sell_out,all,g2,다,W,lstm_vn,0.22343893349170685,s4,True
sell_out,all,g2,라,W,lstm_vn,0.27177292108535767,s4,True
sell_out,all,g2,all,W,lstm_vn,0.23048262298107147,s4,True
sell_out,all,all,바,W,lstm_vn,0.22015869617462158,s4,True
sell_out,all,all,가,W,lstm_vn,0.29611554741859436,s4,True
sell_out,all,all,다,W,lstm_vn,0.2141851782798767,s4,True
sell_out,all,all,나,W,lstm_vn,0.19123347103595734,s4,True
sell_out,all,all,라,W,lstm_vn,0.2725255787372589,s4,True
sell_out,all,all,마,W,lstm_vn,0.17713479697704315,s4,True
sell_out,all,all,all,W,lstm_vn,0.19156292080879211,s4,True
